code,type,video_id,t_start,t_end,who
f2753ec5-6364-44e2-8a64-c12e3e6b2943,60,vid1,1618073905117,1618073905117,mkrooted
c63c60da-c88d-4f06-b0d4-0e9bde6733de,10,vid1,1618074534142,1618074544142,
98c7a3ec-e738-4a4d-8d0d-e647c2bf686e,0,vid1,0,0,
e981346d-bcc6-418c-9392-a0751ced64ba,10,vid1,1618074888306,1618074898306,
